Alabama Lookouts Total known Sites - 211 Last Update - 6/27/2011, 
Tower, County, State No., Agency/NF, Status, Notes, 
Pope, Limestone, 1, AL State, Unknown, N, 
Joe B. Shirley, Madison, 2, AL State, Unknown, Leased or Licensed site, 
Name Not available, Unknown, 3, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 4, AL State, Unknown, Older Series of Towers, no further info available, 
Daniel's Gap, Cherokee, 5, AL State, Unknown, 0, 
AB Alridge, Walker, 6, AL State, Unknown, Leased or Licensed site, 
Name Not available, Unknown, 7, AL State, Unknown, Older Series of Towers, no further info available, 
Lamison, Wilcox, 8, AL State, Unknown, 0, 
Name Not available, Unknown, 9, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 10, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 11, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 12, AL State, Unknown, Older Series of Towers, no further info available, 
Crawford, Jefferson, 13, AL State, Not Standing, Cab on display in Hoover, AL, 
Ted Joy, Jefferson, 14, AL State, Standing, 0, 
Shearles, Tuscaloosa, 15, AL State, Unknown, Leased or Licensed site, 
Phillips Mountain, Tuscaloosa, 16, AL State, Unknown, 0, 
Lathrop, Pickens, 17, AL State, Unknown, 0, 
Smith/Westervelt, Tuscaloosa, 18, AL State, Unknown, 0, 
Flagg Mountain, Coosa, 19, AL State, Unknown, 0, 
Name Not available, Unknown, 20, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 21, AL State, Unknown, Older Series of Towers, no further info available, 
Smith Mountain, Tallapoosa, 22, AL State, Unknown, 0, 
Name Not available, Unknown, 23, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 24, AL State, Unknown, Older Series of Towers, no further info available, 
Rumley, Sumter, 25, AL State, Unknown, 0, 
Name Not available, Unknown, 26, AL State, Unknown, Older Series of Towers, no further info available, 
Aurora, Etowah, 27, AL State, Unknown, 0, 
Hickory Hill, Sumter, 28, AL State, Not Standing, 0, 
Houston, Houston, 29, AL State, Unknown, 0, 
Choctaw, Choctaw, 30, AL State, Unknown, 0, 
Name Not available, Unknown, 31, AL State, Unknown, Older Series of Towers, no further info available, 
Mount Willing, Lowndes, 32, AL State, Unknown, 0, 
Fatama, Wilcox, 33, AL State, Unknown, 0, 
Forest Home, Butler, 34, AL State, Unknown, N, 
Barganier, Butler, 35, AL State, Not Standing, N, 
Kennedy Hill, Barbour, 36, AL State, Unknown, N, 
Eubanks, Barbour, 37, AL State, Not Standing, N, 
Name Not available, Unknown, 38, AL State, Unknown, Older Series of Towers, no further info available, 
Lookout Hill, Monroe, 39, AL State, Unknown, N, 
McWIlliams Hill, Monroe, 40, AL State, Not Standing, N, 
Starlington, Butler, 41, AL State, Unknown, N, 
Sepulga, Conecuh, 42, AL State, Unknown, N, 
McGowin, Butler, 43, AL State, Unknown, N, 
Pigeon Creek, Butler, 44, AL State, Not Standing, N, 
Name Not available, Unknown, 45, AL State, Unknown, Older Series of Towers, no further info available, 
Cobb, Monroe, 46, AL State, Unknown, N, 
Hixon, Monroe, 47, AL State, Unknown, N, 
Blacksher, Monroe, 48, AL State, Unknown, N, 
Wildfork, Monroe, 49, AL State, Unknown, N, 
Brooks, Conecuh, 50, AL State, Unknown, N, 
Name Not available, Unknown, 51, AL State, Unknown, Older Series of Towers, no further info available, 
Jordan, Washington, 52, AL State, Unknown, N, 
Milstead, Washington, 53, AL State, Unknown, N, 
Name Not available, Unknown, 54, AL State, Unknown, Older Series of Towers, no further info available, 
Name Not available, Unknown, 55, AL State, Unknown, Older Series of Towers, no further info available, 
Fairford, Washington, 56, AL State, Unknown, N, 
Name Not available, Unknown, 57, AL State, Unknown, Older Series of Towers, no further info available, 
Gopher Hill, Baldwin, 58, AL State, Standing, N, 
Lottie, Baldwin, 59, AL State, Unknown, N, 
Huxford, Escambia, 60, AL State, Unknown, N, 
Name Not available, Unknown, 61, AL State, Unknown, Older Series of Towers, no further info available, 
Wallace, Escambia, 62, AL State, Unknown, NN, 
Underwood, Escambia, 63, AL State, Unknown, N, 
Miller, Escambia, 64, AL State, Unknown, NN, 
Lawrence, Covington, 65, AL State, Standing, Cab is 7 x 7, 
Grant, Marshall, 66, AL State, Unknown, N, 
Carrollton, Pickens, 67, AL State, Unknown, N, 
Union Grove, Chilton, 68, AL State, Unknown, N, 
Name Not available, Unknown, 69, AL State, Unknown, Older Series of Towers, no further info available, 
