Arizona Lookouts Total known Sites - 120 Last Update - 8/8/2011, 
Lookout Name, NF/Area, Status, Elev, Height, Type, Manufacturer, Con Year, 
Antelope Mtn, Apache-Sitgreaves NF, Former, 9003, 5, Metal Cabin, Mod. Popcorn, 1950's, 
Apache Maid, Coconino NF, Active+, 7301, 30, R-6 flat, USDA-FS CL 100-, 1961, 
Atascosa, Coronado NF, Former*+, 6249, 3, L-4 house, Forest Service, 1933, 
Aztec **, Tonto NF, Active+, 7694, 41.3, R-6 flat, International Derrick, 1957, 
Baboquivari, Tohono O'odham IR, Former, 7734, 2, Wood cabin, Indian Crews, 1934, 
Baker Butte **, Coconino NF, Active+, 8074, 30, MC-24, Aermotor, 1937, 
Barfoot **, Coronado NF, Former*+, 8823, 3, L-4 house, Forest Service, 1935, 
Bear Mtn **, Apache-Sitgreaves NF, Semi-Active+, 8550, 45.9, 7x7, Aermotor LX-25, 1933, 
Big Lake, Apache-Sitgreaves NF, Former+, 9415, 31.6, MC-24, Aermotor, 1933/67, 
Big Springs, Kalbab NF, Active*+, 7900, 99.9, 7x7, Aermotor MC-39, 1934, 
Bill Williams **, Kalbab NF, Active+, 9256, 45.9, 7x7, Aermotor MC-39, 1937, 
Black Pinnacle, Navajo IR, Active+, 7938, 3, Wood cabin, Navajo IR, 1936, 
Black Rock, BLM-AZ Strip, Semi-Active, 7375, 10, R-6 flat, BLM, 1981, 
Blue, Apache-Sitgreaves NF, Inactive+, 9346, 31.6, MC-24, Aermotor, 1933, 
Blue Ridge, Coconino NF, Former, 7416, 48, 7x7, Pacific Coast Steel, 1930, 
Bonita Rock, White Mtn Apache IR, Former, 8600, 8, Wood cabin, White Mtn Apache IR, ? 1920's, 
Bright Angel Point, Grand Canyon NP, Former, 8250, 75, 7x7, Aermotor LX-24, 1928, 
Buck Mtn, Coconino NF, Active*+, 7571, 30, CT-2 wood, Forest Service, 1939, 
Buckskin, White Mtn Apache IR, Inactive+, 6480, 82.6, 7x7, International Derrick, 1963, 
