Illinois Lookouts Total known Sites - 30 Last Update - 3/14/2008, 
Name, Status, Town, Lat (D/M/S), Long (D/M/S), Notes, 
Aden, Not Standing, Dahlgren, 381427, 883110, N/A, 
Atwood, Not Standing, Jonesboro, 372531, 892003, USFS Jonesboro, 
Bald Knob, Not Standing, Alto Pass, 373307, 892047, USFS Jonesboro, 
Bass Hill, Not Standing, ??Tamms, 371918, 891905, USFS Jonesboro, 
Benton, Not Standing, ?Benton, 380201, 885519, N/A, 
Big River State Forest, Standing, Seaton, 410248, 905552, NHLR, 
Buzzville, Not Standing, Topeka, 402152, 900000, N/A, 
Crab Orchard, Not Standing, Carbondale, 373943, 890550, N/A, 
Cypress, Not Standing, ?Cypress, 372040, 885930, N/A, 
Deputy, Not Standing, Golconda?, 372102, 883430, USFS Vienna, 
Dry Hill, Not Standing, Ava, 374854, 893313, USFS Murphysboro, 
Forest Glen Forest Preserve, Standing, Danville, 400050, 873307, No cab, built in 1970, 
Fountain Bluff, Not Standing, Grand Tower?, 374158, 892912, USFS Murphysboro, 
Hickory Ridge, Not Standing, Pomona, 374050, 892342, USFS Murphysboro, 
High Knob, Not Standing, Equality, 373601, 881941, USFS Elizabethtown, 
Honey School, Not Standing, Thebes, 371308, 892156, USFS Jonesboro, 
Lively Grove, Not Standing, Addieville, 381907, 893647, N/A, 
Massac, Not Standing, Massac, Unknown, Unknown, USFS Vienna, 
McCormick, Not Standing, Eddyville?, 373346, 883907, USFS Vienna, 
Pere Marquette State Park, Not Standing, Grafton, Unknown, Unknown, N/A, 
Peters Creek, Not Standing, Elizabethtown?, 373049, 881414, USFS Elizabethtown, 
Pinckneyville, Not Standing, Pinckneyville, Unknown, Unknown, N/A, 
Raum, Not Standing, ?Herod, 372619, 883101, USFS Vienna, 
Royalton, Not Standing, ? Royalton, 375333, 890619, N/A, 
Sand Ridge State Forest, Not Standing, Topeka, Unknown, Unknown, 100-foot wooden tower, built 1940, destroyed by lightning 1970s, 
Shawneetown Hills, Not Standing, Shawneetown, 374517, 880614, N/A, 
Trail of Tears State Forest, Standing, Jonesboro??, 372844, 892129, NHLR, 
Trigg, Standing, Simpson, 372915, 884410, No cab, 
Water Valley, Not Standing, Cobden, 373454, 891014, N/A, 
Williams Hill, Not Standing, Herod, 373458, 882833, N/A, 
, , , , , , 
Totals: Total standing active - 0 Total standing inactive - 4 Total no longer standing - 26, 
