Kentucky Lookouts Total known Sites - 165 Last Update - 8/16/2008, 
Tower Name, County, USGS Quad, Latitude, Longitude, Ownership, Status / Last Report Date, 
Adaburg, Ohio, Dundee, 37 35 29, 86 51 25, N/A, Unknown, 
Adams, Letcher, Mayking, Approx. 37 14 xx, Approx. 82 51 xx, N/A, Unknown, 
Argillite, Greenup, Argillite, 38 27 39, 82 48 19, N/A, Unknown, 
Asher, Caldwell, Olney, 37 13 05, 87 50 44, N/A, Unknown, 
Baldrock, Laurel, London SW, 37 01 59, 84 13 20, N/A, Removed, 
Baptist, Wolfe, Landsaw, 37 43 35, 83 28 46, N/A, Unknown, 
Bear Track, Lee, Cobhill, 37 37 31, 83 46 19, N/A, Unknown, 
Beech Fork, Leslie, Hoskinston, 37 01 24, 83 24 20, N/A, Unknown, 
Bell, Clay, Beverly, 36 59 42, 83 35 41, N/A, Unknown, 
Benham, Harlan, Benham, 36 57 10, 82 58 35, N/A, Unknown, 
Benton, Marshall, Hardin, 36 47 51, 88 21 18, N/A, Unknown, 
Bernheim, Bullitt, Samuels, 37 54 08, 85 37 39, Bernheim Arboretum & Research Forest, Standing (August 17, 2006), 
Beschman, See “Putney”, 
Big Black, Harlan, Benham, 36 54 51, 82 53 38, N/A, Standing (May 7, 2004), 
Big Knob, Pulaski, Bobtown, Approx. 37 08 xx, Approx. 84 32 xx, N/A, Unknown, 
Bird Branch, Bell, Pineville, 36 45 50, 83 38 07, N/A, Unknown, 
Bishop, Carlisle, Arlington, 36 50 44, 89 04 01, N/A, Unknown, 
Blueball Hill, Hardin, Howe Valley, 37 44 xx, 86 02 xx, N/A, Unknown, 
Brandy Keg, Floyd, Lancer, 37 40 26, 82 40 56, N/A, Unknown, 
Bright, Letcher, Whitesburg, 37 04 37, 82 48 29, N/A, Unknown, 
Brooks Knob, Edmonson, Rhoda, 37 11 28, 86 12 09, N/A, Removed, 
Buck Knob, McCreary, Burnside, 36 52 45, 84 32 00, N/A, Unknown, 
Button Knob, Casey, Bradfordsville, Approx. 37 24 xx, Approx. 85 01 xx, N/A, Unknown, 
Camp Robinson, Breathitt, Noble, 37 28 01, 83 09 27, UKY, Standing, 
Canada Knob, Pike, Belfry, 37 35 xx, 82 21 xx, N/A, Unknown, 
Card Knob, Pike, Elkhorn City, 37 20 xx, 82 17 xx, N/A, Unknown, 
Cassidy, See “Hurricane”, 
Cedar Grove, Livingston, Burna, 37 14 12, 88 17 41, N/A, Unknown, 
Cedar Knob, Pulaski, Science Hill, 37 12 xx, 84 44 xx, N/A, Unknown, 
Charleston, Hopkins, Dawson Springs, 37 13 12, 87 41 32, N/A, Unknown, 
Cherry Tree Knob, Clay, Mistletoe, 37 16 47, 83 34 26, N/A, Standing (March 10, 2005), 
Chunklick, Harlan, Ewing, 36 44 03, 83 23 00, STATE, Unknown, 
Clevinger Knob, Lawrence, Blaine, 38 07 03, 82 47 58, N/A, Unknown, 
Cloverport, Breckinridge, Mattingly, 37 51 27, 86 34 20, N/A, Unknown, 
Crocus, Adair, Creelsboro, 36 59 xx, 85 13 xx, N/A, Unknown, 
Crofton, Christian, Crofton, 37 03 48, 87 22 46, N/A, Unknown, 
Cromwell, Ohio, Cromwell, 37 20 15, 86 49 21, N/A, Unknown, 
