Michigan Lookouts Total known Sites - 211 Last Update - 2/16/2009, 
Lookout Name, Region, Property, Location, 
3 lakes, Upper Penninsula, N/A, 1 mile e of town off rtes 41/28, 
Arnold, Upper Penninsula, N/A, 4 miles n of town along rte 557, 
Atlanta, Lower Penninsula, Mackinaw State Forest, Montmorency county off hall rd, 
Avon, Upper Penninsula, Copper country state forest, 15 miles n of Three lakes, 
Aylsworth Johnson, Lower Penninsula, Pere Marquette State Forest, Leelanau county off airport rd, 
Bates, Upper Penninsula, Ottawa National forest, 4 miles w of Mapleton off rte 2, 
Beach hill, Upper Penninsula, Lake superior state forest, off rte 421, 
Beaver, Lower Penninsula, Manistee National Forest, Newaygo county off stone rd, 
Bergland, Upper Penninsula, Ottawa National forest, 5 miles n of town off rte 64, 
Bliss, Lower Penninsula, Mackinaw State Forest, Emmet county off gill rd, 
Boon, Lower Penninsula, Manistee National Forest, Wexford county off no 34 rd, 
Bowman, Lower Penninsula, Au Sable State Forest, Gladwin county off bowmanville rd, 
Briar, Lower Penninsula, Manistee National Forest, Wexford county off no 13 rd, 
Buell, Lower Penninsula, N/A, Otsego county off buell rd, 
Connors, Upper Penninsula, Ottawa National forest, 12 miles nw of Sidnaw at rte 28, 
Copps, Upper Penninsula, N/A, 10 miles n of Marenisco, 
Covington, Upper Penninsula, N/A, 1/2 mile n of town, 
Crystal, Lower Penninsula, Manistee National Forest, Oceana county off 156th ave, 
Curran, Lower Penninsula, Huron National Forest, Alcona county off tower rd, 
Custer, Lower Penninsula, Manistee National Forest, Mason county off Wilson rd, 
Dagget, Upper Penninsula, Lake superior state forest, 4 miles e of Simmons, 
Deward, Lower Penninsula, Au Sable State Forest, Crawford county off batterson rd, 
Down river, Lower Penninsula, N/A, Crawford county 0ff Stephen bridge rd in the Camp Grayling Military Res., 
East lake, Upper Penninsula, Hiawatha national forest, 6 miles s of Dick along Eastlake rd, 
Eckerman, Upper Penninsula, Lake superior state forest, 1 mile nw of rte 123 and east west rd 10 miles n of Eckerman, 
Eckerman, Upper Penninsula, Hiawatha national forest, 1 mile south of Eckerman corner near intersection of rtes 123 and 28, 
Elk hill, Lower Penninsula, Au Sable State Forest, Oscoda county off fire tower rd, 
Elm river, Upper Penninsula, Copper country state forest, 4 miles ne of Twin lakes off rte 26, 
Feldtman, Lower Penninsula, Isle Royale National Park, Keweenaw county, 
