New Mexico Lookouts Total known Sites - 93 Last Update - 2/13/2006, 
Lookout Name, NF/Area, Status, Elev, Height, Type, Manufacturer, Con Year, 
Alamo, Lincoln NF, Former, 7820, 35, 7x7, Aermotor LX-25, 1926, 
Armstrong, NM State Forestry, Former, 8120, 18, Alum, Military (Portable), ?, 
Atole, Jicarilla IR, Active+, 8755, 45, 13x13, Aermotor, 1997, 
Barillas **, Santa Fe NF, Active, 9300, 54, R-6 flat, USDA-FS CL 100-, 1959, 
Bearhead, Santa Fe NF, Former, 8711, 20, Crow's Nest, Forest Service, ?, 
Bearwallow, Gila NF, Active, 9920, 31.6, 7x7, Aermotor LX-24, 1923, 
Black Mtn **, Gila NF, Active, 9303, 31.6, L-4, Aermotor MC-24, 1934, 
Block (Smokey Bear), Lincoln NF, Former, 6050, 3, Cabin, Forest Service, 1931, 
Blue Mtn, Cibola NF, Former, 10309, 40, Crow's Nest, Forest Service, 1950's, 
Bluewater, Lincoln NF, Inactive*, 7248, 45.9, 7x7, International Derrick, 1937, 
Boiler Peak, Gila NF, Former, 8055, 3, Cabin, Forest Service, 1935, 
Brandlier (Frijoles), Nat. Park Service, Semi-Active*, 6606, 10, L-4 cabin, NPS, 1937, 
Brushy (Cebollita), Isleta-Acoma IR, Active, 8762, 45.9, 7x7, Aermotor MC-39, 1936, 
Canjilon, Carson NF, Former, 10913, 20, Crow's Nest, Forest Service, 1909, 
Capilla Peak **, Cibola NF, Active, 9368, 10, R-6 flat, USDA-FS CL 100-, 1963, 
Carracas **, Carson NF, Former, 7450, 7, Trailer, Comm Trailer (mod), 1973, 
Carrisa **, Lincoln NF, Inactive*, 8450, 79.6, 7x7, Aermotor MC-39, 1934-35, 
Cedar Springs, Jicarilla IR, Active+, 8316, 33, 7x7, Aermotor MC-39, 1954, 
Cedro **, Cibola NF, Active, 7700, 22.6, R-6 flat, Branden Steel Corp, 1969, 
Cerro Pelado **, Santa Fe NF, Active, 10109, 10, R-6 flat, USDA-FS CL 100-, 1965, 
Cerro Valdez, Santa Fe NF, Former, 7825, 10, L-4 cabin, Forest Service, ?, 
Cienegita, Mescalero IR, Active, 9265, 35, Steel I-, Mescalero IR, 1959, 
Clara Peak, Santa Fe NF, Former, 8549, 3, L-4 cabin, Forest Service, 1951, 
Dark Canyon **, Lincoln NF, Inactive*, 6940, 48, 7x7, Aermotor MC-99, 1948, 
Davenport, Cibola NF, Active+, 9354, 10, Homemade, USDA-FS CL 100-, 1954, 
Deadman? **, Santa Fe NF, Semi-Active, 8786, 31.6, L-4, Aermotor MC-24, 1933, 
Diamond Peak, Gila NF, Former, 9850, 45, 7x7, International Derrick, 1934, 
Dome, Santa Fe NF, Inactive, 8463, 10, R-6 flat, USDA-FS CL 100-, 1965, 
Eagle Peak **, Gila NF, Active, 9802, 10, R-6 flat, USDA-FS CL 100-, 1955, 
El Caso, Gila NF, Inactive*+, 8867, 31.6, L-4, Aermotor MC-24, 1937, 
El Morro, Cibola NF, Inactive, 7790, 30, 7x7, Aermotor MC-39, 1930's, 
Encino **, Santa Fe NF, Active, 9982, 59.3, 7x7, Aermotor MC-39, 1950, 
Five Mile, Mescalero IR, Semi-Active, 8780, 99.9, 7x7, Broken Arrow, 1965, 
Fox Mtn, Gila NF, Active+, 9383, 10, R-6 flat, USDA-FS CL 100-, 1959, 
Gallinas Peak, Cibola NF, Active, 8637, 45.9, 7x7, Aermotor MC-39, 1933, 
Gavalian Ridge, Lincoln NF, Former, ?, 0, ?, ?, ?, 
Glorieta Baldy, Santa Fe NF, Inactive*, 10199, 30, L-4, Aermotor MC-24, 1940, 
Granite Peak, Gila NF, Former, 8731, 30, 7x7, Aermotor LX-24, 1930, 
