South Carolina Lookouts Total known Sites - 197 Last Update - 8/16/2012, 
#, Tower Name, County, Coordinates, Operator, Status, Photo, Remarks, 
1, Lowndesville, Abbeville, 34 13 35 82 34 22, SCFC, Standing (January 24, 2012 per SCFC), , , 
2, Parsons Mountain, Abbeville, 34 04 59 82 21 46, USFS, Standing (November 4, 2009), Photo, , 
3, Cassels, Aiken, 33 14 08 81 42 54, SRS / DOE, Standing (October 5, 2010), , , 
4, Graniteville, Aiken, 33 35 30 81 50 20, SCFC, Removed (per SCFC), , , 
5, Hawthorne, Aiken, 33 21 40 81 36 34, SRS / DOE, Standing (October 5, 2010), , , 
6, Monetta, Aiken, 33 45 03 81 38 34, SCFC, Removed (per SCFC), , , 
7, Oakwood, Aiken, 33 30 53 81 34 57, SCFC, Removed, , , 
8, Silverton, Aiken, 33 20 52 81 47 59, SCFC, Removed (per SCFC), , , 
9, Wagener, Aiken, 33 36 27 81 21 54, SCFC, Removed, , , 
10, Appleton, Allendale, 33 01 25 81 23 03, SCFC, Removed, , Sold to Mickey Scott, dismantled and relocated, 
11, Butterfield (Dr. Michael T. Finch, Jr.), Allendale, Approx. 32 58 10 81 26 00, N/A, Standing, , Former Edisto tower, purchased from SCFC and relocated, 
12, Luray, Allendale, 32 50 51 81 18 24, SCFC, Removed, , , 
13, Ulmer, Allendale, 33 05 18 81 10 45, SCFC, Standing (Private) (2009), , , 
14, Unknown (Mickey Scott), Allendale, Approx. 32 59 14 81 24 30, N/A, Standing, , Former Appleton tower, purchased from SCFC and relocated, 
15, Craytonville, Anderson, 34 27 02 82 28 49, SCFC, Removed (per SCFC), , , 
16, Little Mountain, Anderson, 34 26 28 82 41 56, SCFC, Unknown, Photo, Site sold, tower status unknown, 
17, Stringer Ridge, Anderson, 34 41 43 82 35 32, SCFC, Standing (April 3, 2009), Photo, , 
18, Bamberg, Bamberg, 33 19 36 81 04 21, SCFC, Removed (per SCFC), , , 
19, Edisto, Bamberg, 33 12 24 80 51 19, SCFC, Removed, , Sold to Dr. Michael T. Finch, Jr., dismantled and relocated, 
20, Barnwell, Barnwell, 33 13 23 81 20 29, SCFC, Standing (April, 2011), , , 
21, Dunbarton, Barnwell, 33 12 38 81 35 24, SRS / DOE (formerly SCFC), Standing (October 5, 2010), , , 
22, Elko, Barnwell, 33 22 22 81 20 58, SCFC, Removed, , , 
23, Hilton Head, Beaufort, Approx. 32 12 xx 80 44 xx, SCFC, , , , 
24, Lady’s Island, Beaufort, 32 25 04 80 39 02 (GPS reading), SCFC, Removed, , , 
25, Pritchardville, Beaufort, 32 14 20 80 58 36, SCFC, Removed, , , 
26, Sheldon, Beaufort, 32 36 06 80 47 28, SCFC, Removed, , , 
27, Unknown (U.S. Marine Corps), Beaufort, 32 19 48 80 42 39, USMC, Unknown, , , 
28, Bethera, Berkeley, 33 12 24 79 46 56 (GPS reading), USFS, Removed, Photo, Relocated to Witherbee, 
29, Bonneau, Berkeley, Approx. 33 19 02 79 57 03, SCFC, Removed, , , 
30, Cordesville, Berkeley, 33 08 45 79 53 44, USFS, Removed, Photo, , 
31, Cross, Berkeley, 33 16 53 80 10 10 (GPS reading), SCFC, Removed, , , 
Westvaco Lumber Company?, , 
32, Gravel Hill, Berkeley, 33 20 44 79 52 17 (GPS reading), USFS, Removed, Photo, , 
33, Honey Hill, Berkeley, 33 10 27 79 33 42 (GPS reading), USFS, Standing, Photo, , 
34, Jamestown, Berkeley, 33 17 05 79 41 28 (GPS reading), USFS, Removed, , , 
35, Northampton, Berkeley, 33 04 23 79 45 21, USFS, Removed, , , 
36, Oakley, Berkeley, 33 06 01 80 01 06, SCFC, Removed, , Sold to Wayne Cooper, dismantled, 
37, Pineville, Berkeley, 33 26 28 80 03 58, SCFC, Standing (November 6, 2007), Photo, , 
38, Unknown (A.C. Tuxbury Lumber Company), Berkeley, Unknown, A.C. Tuxbury Lumber Company, Removed, , , 
39, Wando, Berkeley, 32 57 10 79 50 25, USFS, Removed, , , 
40, Witherbee, Berkeley, 33 09 42 79 49 47 (GPS reading), USFS, Standing (March 25, 2011), Photo, Relocated from Bethera, 
41, Calhoun, Calhoun, 33 43 35 80 52 52, SCFC, Standing (January 24, 2012 per SCFC), , , 
42, Fort Motte, Calhoun, 33 41 20 80 41 04, SCFC, Standing, , , 
43, Adams Run, Charleston, 32 44 28 80 20 57 (GPS reading), SCFC, Standing (March 24, 2011), Photo, , 
44, Buck Hall, Charleston, 33 02 50 79 34 01, USFS, Removed, , Sold to SCDNR, dismantled and relocated, 
45, Bull Island, Charleston, 32 54 25 79 36 48, USFWS, Standing (November 11, 2008), Photo, , 
46, Cannon Street, Charleston, 32 47 29 79 56 26, City of Charleston, SC, Standing, , , 
47, Dewees Island, Charleston, 32 50 42 79 42 23, Private, Standing, , Former U.S. Army submarine lookout tower (WW II), 
48, Horsehead (name unconfirmed), Charleston, 33 03 36 79 24 14 (GPS reading), USFWS, Standing (April 13, 2009), Photo, , 
49, Johns Island, Charleston, 32 43 49 80 06 16 (GPS reading), SCFC, Removed, Photo, , 
50, McClellanville, Charleston, 33 04 53 79 27 33 (GPS reading), SCFC, Standing (Private) (February 27, 2009), Photo, Sold to Town of McClellanville, SC, 
51, Meeting Street, Charleston, 32 46 40 79 55 50, City of Charleston, SC, Standing, Photo, , 
52, Saltpond (name unconfirmed), Charleston, 32 59 54 79 36 17 (GPS reading), USF&WS (USFS property), Removed, , , 
