
Battle Mtn. Lookout, Elk Mtn. Lookout, Pilger Peak Lookout, 
Bear Mtn. Lookout, Flag Mtn. Lookout, Rankin Ridge Lookout, 
Boulder Hill Lookout, Harney Peak Lookout, Seth Bullock Lookout, 
Cicero Peak Lookout, Lacreek NWR Lookout, Summit Ridge Lookout, 
Coolidge, Mount, Lookout, Lakota Peak Lookout, Terry Peak Lookout, 
Custer Peak Lookout, , , 

Castle Peak, , Sand Lake, 
Crows Nest Peak, Medicine Butte, Signal Hill, 
Eagle Nest Butte, Norris Peak, South Tower, 
, Parker Peak, Veteran, 
, Porcupine Butte, Waubay, 
