Tennessee Lookout Towers, 
, 
Waypoint, Tower, Elev., County, Info, 
ANT001, Bluebird, 1319', Anderson, GB2537 2-17 standing, 
ANT002, Laurel Grove, 1743', Anderson, 2-16 standing, 
BNT001, Big Sandy, 642', Benton, GD1471 8-2 removed, 
BNT002, Camden, 588', Benton, 8-3 standing, 
BNT003, Russell Field, 649', Benton, FE2214 8-1 removed, 
BLT001, Bledsoe, 1836', Bledsoe, 3-5 removed, 
BLT002, Bradden Knob, 2018', Bledsoe, 3-6 standing, 
BLT003, Cold Spring, 1184', Bledsoe, 3-8 removed, 
BLT006, Hendon, 2319', Bledsoe, 3-10 standing, 
BLT008, Jane Ridge, 2100', Bledsoe, removed, 
BLT007, Meyers, 2110', Bledsoe, FC1831 historical, 
BLT005, Summer City, 2047', Bledsoe, 3-9 standing, 
BLT004, Worthington Knob, 2554', Bledsoe, 3-7 standing, 
BTT002, Bunker Hill, 2767', Blount, FB2637 gsmnp removed, 
BTT001, Look Rock, 2641', Blount, FB2645 standing, 
BTT003, Millstone Gap, 2843', Blount, FB2649 2-2 standing, 
BTT004, Rich Mountain, 3699', Blount, FB2634 gsmnp removed, 
BRT001, Candies Creek, 1100', Bradley, 3-15 removed, 
BRT004, N4AOW Tower, 1061', Bradley, standing, 
BRT003, Nature Center, 850', Bradley, sitting, 
BRT002, Red Hill, 1162', Bradley, 3-16 removed, 
CAT001, Braden Mountain, 2700', Campbell, 2-22 moved, 
CAT002, Cove Creek, 1450', Campbell, 2-15 standing, 
CAT003, Lafollette, 1240', Campbell, standing, 
CAT005, Nig Field, 3241', Campbell, GB2578 2-14 removed, 
CAT004, Rich Mountain, 2369', Campbell, 2-12 removed, 
CAT007, View Tree Knob, 2749', Campbell, GB2575 2-22 removed, 
CAT006, Walnut Mountain, 2832', Campbell, GB2535 2-13 standing, 
CNT002, Parker Hill, 1247', Cannon, 5-5 standing, 
CNT001, Short Mountain, 2092', Cannon, 5-4 standing, 
CRT003, Huntingdon, 548', Carroll, 8-8 removed, 
CRT002, Leach, 627', Carroll, FE2237 8-9 standing, 
CRT001, Maple Creek, 711', Carroll, FE2217 8-10 standing, 
CTT001, Holston High Knob, 4137', Carter, cnf standing, 
CTT005, Holston High Point, 4308', Carter, GA3370 cnf removed, 
CTT002, Roan High Knob, 6285', Carter, cnf removed, 
CTT003, Stony Creek, 2251', Carter, historical, 
CTT004, White Rock, 4094', Carter, cnf removed, 
CHT001, Kingston Springs, 827', Cheatham, GC1483 6-11 removed, 
CHT002, Petway, 761', Cheatham, GC2550 6-10 standing, 
CHT003, Sycamore, 679', Cheatham, 6-9 removed, 
CST001, Cabo, 663', Chester, 8-15 standing, 
CST002, Chickasaw, 643', Chester, 8-16 standing, 
CLT001, Bryson Mountain, 3202', Claiborne, 2-9 removed, 
CLT004, Cline Knob, 1864', Claiborne, moved, 
CLT003, Friendship, 1700', Claiborne, GA3561 2-8 station, 
CLT002, Springdale, 2300', Claiborne, GA3532 2-7 standing, 
CYT002, Hermitage Springs, 998', Clay, 4-10 moved, 
CYT001, Pilot Knob, 1398', Clay, GB2367 4-9 standing, 
COT001, English Mountain, 3629', Cocke, FB2498 1-3 standing, 
COT002, Hall Top, 3610', Cocke, FB2442 1-2 standing, 
COT003, Meadow Creek, 2875', Cocke, cnf standing, 
COT004, Mount Cammerer, 4928', Cocke, FB2440 gsmnp standing, 
COT005, Round Mountain, 4314', Cocke, cnf removed, 
CFT001, Farrar Hill, 1208', Coffee, 5-6 removed, 
CFT002, Summitville Mtn, 1251', Coffee, 5-7 moved, 
CFT003, The Barrens, 1093', Coffee, 5-8 removed, 
CUT001, Big Hill, 2035', Cumberland, 4-6 standing, 
CUT004, Homestead, 1842', Cumberland, standing, 
CUT002, Lantana, 2037', Cumberland, 4-8 standing, 
CUT003, Pilot Knob, 2021', Cumberland, 4-7 standing, 
DAT001, Germantown, 870', Davidson, 6-7 removed, 
DAT002, Sullivan Ridge, 902', Davidson, GC2324 6-8 removed, 
DET001, Parsons, 670', Decatur, 8-4 standing, 
DET002, Turnbo, 676', Decatur, 8-5 removed, 
DKT001, Smithville, 1145', DeKalb, 4-25 standing, 
DIT001, Bell, 866', Dickson, GC2560 6-15 removed, 
DIT002, Hortense, 924', Dickson, GC2564 removed, 
DIT003, Stony Point, 817', Dickson, GC2577 6-14 moved, 
DIT004, Tenn City, 880', Dickson, GC2588 6-16 standing, 
DYT001, Dyersburg, 483', Dyer, 9-13 removed, 
DYT002, Millsfield, 515', Dyer, 9-12 removed, 
FAT001, Ebenezer, 594', Fayette, FE2498 9-8 standing, 
FAT003, Laconia, 505', Fayette, FE2509 9-7 standing, 
FAT002, Morris, 415', Fayette, FE2547 9-9 removed, 
FET001, Allardt, 1697', Fentress, 4-4 standing, 
FET004, Pickett, 1720', Fentress, standing, 
FET005, Rock House, 1687', Fentress, GB2639 4-1 moved, 
FET002, Skinner Mountain, 1759', Fentress, 4-3 removed, 
FET003, Wright Mountain, 1800', Fentress, 4-2 standing, 
FRT003, Arnold AFB, 1112', Franklin, removed, 
FRT001, Rowe Gap, 1873', Franklin, 5-10 removed, 
FRT002, Sewanee, 2044', Franklin, FC1909 5-9 standing, 
GIT001, Concord, 486', Gibson, 9-3 removed, 
GIT002, Humboldt, 479', Gibson, 9-4 removed, 
GIT003, Milan, 429', Gibson, historical, 
GLT001, Anthony Hill, 1020', Giles, 7-6 standing, 
GLT002, Pierce, 1080', Giles, 7-5 removed, 
GRT001, Avondale, 2482', Grainger, 1-6 standing, 
GET001, Camp Creek Bald, 4844', Greene, cnf standing, 
GET002, Rich Mountain, 3670', Greene, cnf standing, 
GUT001, Altamont, 2031', Grundy, 3-21 standing, 
GUT002, Dykes Mountain, 1893', Grundy, 3-20 removed, 
