Virginia Lookouts Total known Sites - 192 Last Update - 11/20/2011, 
Tower Name, Photo, County, USGS Quad, Coordinates, Ownership, Status, Remarks, 
Allen Field (Brush Mountain), #1, Montgomery, Newport, 37 15 48 80 28 02, USFS, Removed, , 
Alton, , Halifax, Cluster Springs, 36 36 02 78 58 52, VDOF, Unknown, , 
Amelia, , Amelia, Amelia Court House, 37 19 56 77 59 03, VDOF, Removed, , 
Apple Orchard Mountain, , Bedford, Arnold Valley, 37 31 02 79 30 37, USFS, Removed, Relocated to 'Purgatory' (1957-1958), 
Ark, , Gloucester, Gloucester, 37 26 17 76 34 42, VDOF, Standing (May 2, 2007), , 
Assateague Beach, , Accomack, Unknown, 37 51 49 75 22 05, NPS (formerly USCG), Standing, , 
Bald Knob, #1, Bath, Healing Springs, 37 55 32 79 51 04, VDOF, Standing (2008), , 
Bald Mountain, #1 #2, Augusta, Big Levels, 37 55 02 79 03 47, USFS, Removed, , 
Bald Mountain, 1955, Craig, New Castle, 37 36 53 80 02 14, USFS, Removed, , 
Bartlick, , Dickenson, Haysi, 37 14 16 82 16 08, VDOF, Removed, , 
Baskerville (formerly Mecklenburg), , Mecklenburg, Baskerville, 36 44 02 78 16 41, VDOF, Removed, , 
Baylor (renamed Caroline), , Caroline, Bowling Green, See ?Caroline?, 
Bearwallow (formerly Jewell Ridge), , Tazewell, Jewell Ridge, 37 13 14 81 45 02, PRIVATE (Arthur Stiltner) (formerly VDOF), Standing (March 26, 2008), , 
Bedford, , Bedford, Bedford, 37 19 14 79 31 22, PRIVATE (Robert Dinwiddie) (formerly VDOF), Standing (October 27, 2005), , 
Belair (name unconfirmed), , Prince William, Joplin, Approximately 38 34 50 77 26 04, Unknown, Unknown, , 
Big A Mountain, , Buchanan (VDOF listing is in Russell), Big A Mountain, 37 03 08 82 02 08, VDOF, Standing (March 10, 2006), , 
Big Bend, , Wythe, Big Bend, 37 01 29 81 10 34, Unknown, Removed, , 
Big Knob, , Scott, Gate City, 36 39 52 82 30 21, PRIVATE (formerly VDOF), Standing (2009), , 
Big Ridge, , Alleghany, Glace, 37-41-28.1? 80-16-01.3, USFS, Removed, , 
Big Walker Mountain, , Bland / Wythe, Big Bend, Approximately 37 02 44 81 13 42, PRIVATE (Ron Kime), Standing, Observation tower (steel w/open platform - no cab), 
Birch Knob, , Dickenson, Clintwood, 37 14 xx 82 27 xx, USFS, Removed, Replaced by an observation platform/tower, 
Birdnest, , Northampton, Franktown, 37 26 20 75 52 51, VDOF, Standing (2008), , 
Blackstone, , Nottoway, Blackstone East, 37 05 57 77 58 31, PRIVATE (formerly VDOF), Standing (May 19, 2005), , 
Blakey Ridge, , Madison, Madison, 38 25 39 78 20 15, PRIVATE (formerly VDOF), Standing (January 12, 2002), , 
Bluff Mountain, 1940, Rockbridge, Buena Vista, 37 39 35 79 20 47, USFS, Removed, , 
Bother Knob, , Rockingham, Brandywine, 38 30 26 79 12 40, USFS, Removed? (unconfirmed), , 
Bowers Hill, , City Of Chesapeake, Bowers Hill, 36 47 17 76 24 38, PRIVATE (formerly VDOF), Removed, , 
Brush Mountain (Allen Field), , Montgomery, Newport, See ?Allen Field?, 
Brushy Mountain, 1953, Alleghany, Jerrys Run, 37 48 37 80 09 19, USFS, Removed, , 
Buchanan High Knob (High Knob) (High Knob-Leemaster), , Buchanan, Prater, See ?High Knob-Leemaster?, 
Buck Knob, , Wise, Flat Gap, 37 03 14 82 38 31, VDOF, Unknown, , 
Buckner Ridge, 1958, Scott, Fort Blackmore, 36 48 44 82 35 44, USFS, Removed (unconfirmed), , 
Buffalo Mountain, , Floyd, Willis, 36 47 xx 80 28 xx, VDOF, Removed, , 
Buffalo Ridge, , Amherst, Buffalo Ridge, 37 31 45 78 58 46, VDOF, Removed, , 
Buffards Mountain, , Buckingham, Dillwyn, Approximately 37 34 49 78 24 38, Private (formerly VDOF), Standing (2008), , 
Bull Hill, , Wise, Coeburn, 36 56 35 82 22 42, VDOF, Unknown, , 
Bull Mountain (I), , Patrick, Patrick Springs, Unknown, VDOF, Removed, , 
Bull Mountain (II), , Patrick, Patrick Springs, 36 41 34 80 13 30, PRIVATE (formerly VDOF), Standing (2008), , 
Bull Run Mountain Estates, , Prince William, Middleburg, 38 54 44 77 40 06, Unknown, Removed, , 
Butt Mountain, 2010, Giles, Eggleston, 37 22 07 80 37 23, USFS / VDOF, Standing (November 11, 2010), , 
Cahas Mountain (name unconfirmed), , Franklin, Callaway, Approximately 37 07 01 80 00 57, Unknown, Unknown, , 
Capron, , Southampton, Capron, 36 39 55 77 13 47, PRIVATE (formerly VDOF), Removed, , 
Caret (renamed Essex), , Essex, Cauthornville, See 'Essex', 
Caroline (formerly known as Baylor), , Caroline, Bowling Green, 38 00 04 77 20 05, VDOF, Removed, , 
Carters Mountain, , Albemarle, Simeon, 37 58 48 78 29 20, VDOF, Standing (January 5, 2005), , 
Cedar Island, , Accomack, Metomkin Inlet, 37 40 21 75 35 39, PRIVATE (formerly USCG), Unknown, , 
Center Cross, , Essex, Dunnsville, 37 47 18 76 46 51, PRIVATE (Essex County) (formerly VDOF), Standing (2008), , 
Central Plains (formerly Fluvanna), , Fluvanna, Palmyra, 37 48 11 78 20 11, PRIVATE (formerly VDOF), Standing (2008), , 
Chancellor (I), , Spotsylvania, Brokenburg, Unknown, Unknown, Removed, Wooden tower replaced by Chancellor (II), 
Chancellor (II), , Spotsylvania, Brokenburg, 38 12 46 77 43 28, PRIVATE (formerly VDOF), Standing (2008), , 
Charles City, , Charles City, Providence Forge, 37 23 25 77 03 12, PRIVATE (formerly VDOF), Standing (2008), , 
Chesterfield, , Chesterfield, Beach, 37 21 01 77 37 28, VDOF, Removed, , 
Chestnut Knob, , Henry, Price, 36 36 48 79 55 04, PRIVATE (formerly VDOF), Removed (unconfirmed), , 
Chestnut Mountain, , Tazewell, Hutchinson Rock, 37 03 28 81 23 57, USFS, Removed, , 
Circle (formerly King George), , King George, King George, 38 16 08 77 08 18, VDOF, Removed, , 
Cliff Mountain, , Lee, Big Stone Gap, See ?Jasper Cliff?, 
Comers Rock, , Grayson / Wythe, Speedwell, Approximately 36 45 51 81 13 42, USFS, Removed, Lookout house / cabin, 
Cooperstown, , Fauquier, Somerville, 38 31 35 77 33 51, PRIVATE (formerly VDOF), Removed, , 
Cove Mountain, , Wythe, Long Spur, 37 02 00 80 57 18, PRIVATE (formerly USFS), Standing (October 1, 2010), , 
Cow Knob, , Rockingham, Cow Knob, 38 41 30 79 05 26, USFS, Removed? (unconfirmed), , 
Crafton Gate, , Charlotte, Drakes Branch, 36 54 34 78 31 41, VDOF, Standing (2008), , 
Culpeper, , Culpeper, Germanna Bridge, 38 24 30 77 45 11, PRIVATE (formerly VDOF), Standing (January 14, 2007), , 
Cumberland, , Cumberland, Cumberland, 37 29 46 78 14 37, VADC, Standing (October 16, 2007), , 
Deer Head (I), , Shenandoah, Conicville, 38 48 33 78 43 02, Unknown, Removed, , 
Deer Head (II), , Shenandoah, Conicville, Unknown, VDOF, Standing (2008), , 
Dewitt (formerly Dinwiddie), , Dinwiddie, De Witt, 37 02 31 77 38 23, VDOF, Standing (August 19, 2005), , 
Dickey Knob, , Smyth, Atkins, 36 45 06 81 25 45/46, USFS, Removed, , 
Dinwiddie (renamed Dewitt), , Dinwiddie, De Witt, See ?Dewitt?, 
Dismal Swamp, , City Of Suffolk, Lake Drummond NW, 36 40 44 76 29 22, PRIVATE (formerly VDOF), Unknown, , 
Disputanta, , Prince George, Disputanta North, 37 10 53 77 12 46, PRIVATE (Prince George County), Standing (2008), , 
Duncan Knob, , Bath, Burnsville, 38 09 52 79 42 18, Unknown, Standing (2008), , 
Eagle Mountain (formerly Eagle Rock Mountain), , Botetourt, Eagle Rock, 37 37 55 79 49 49, PRIVATE (formerly VDOF), Removed (unconfirmed), , 
