West Virginia Lookouts Total known Sites - 132 Last Update - 5/24/2013, 
#, Tower Name, County, USGS Quad, Coordinates, Ownership, Status, Remarks, 
1, Laurel Mountain, Barbour, Belington, 39 00 14 79 53 11, WVDF, Unknown, , 
2, North Mountain, Berkeley, Tablers Station, 39 25 11 78 05 21, WVDF, Removed, , 
3, Sleepy Creek, Berkeley, Stotlers Crossroads, 39 33 03 78 09 32, WVDF, Removed, , 
4, Elk Knob (I), Boone, Unknown, Unknown, STATE, Removed, Rebuilt as Elk Knob (II), 
5, Elk Knob (II), Boone, Unknown, Unknown, WVCC, Removed, Relocated to Eunice, 
6, Piney Knob, Boone, Henlawson, 37 58 54 81 54 31, WVDF, Unknown, , 
7, White Oak, Boone, Wharton, Approx. 37 55 52 81 43 50, WVDF, Unknown, , 
8, Williams Hill, Boone, Williams Mountain, 38 01 29 81 40 41, WVDF, Removed, , 
9, Eunice (name unconfirmed), Boone / Raleigh, Unknown, Unknown, WVCC, Removed, Relocated from Elk Knob (II), 
Relocated to Bacon Knob, 
10, Poplar Ridge, Braxton, Erbacon, 38 37 24 80 36 31, WVCC, Removed, , 
11, Cabell, Cabell, Winslow, 38 15 09.78 82 15 24.96, WVDF, Removed, , 
12, Pond Ridge, Clay, Swandale, 38 28 49 80 52 58, WVDF, Removed, , 
13, Gauley Mountain, Fayette, Ansted, 38 09 09 81 06 54, WVDF, Removed, Sold to WVDNR, dismantled and relocated, 
14, Mann Mountain, Fayette, Danese, 37 55 39 80 58 13, WVDF, Standing (May 9, 2007), , 
15, Stop Knob, Fayette, Powellton, 38 xx xx 81 xx xx, WVCC, Removed, Relocated to Peters Mountain, 
16, Bell Knob, Grant, Hopeville, 39 00 00 79 19 23, USFS, Standing (2009), , 
17, Pigeon Roost, Grant, Greenland Gap, 39 11 14 79 13 25, WVDF, Removed, , 
18, Grassy Knob, Greenbrier, Trout, 38 03 55 80 29 47, WVDF, Removed, , 
19, Hopkins Mountain, Greenbrier, Alvon, 37 56 45 80 14 57.4, USFS, Removed, , 
20, Job Knob, Greenbrier, Duo, Unknown, STATE, Removed, , 
21, Manning Knob, Greenbrier, Fork Mountain, Approx. 38 08 26 80 29 56, Central Protective Association, Removed, , 
22, Mikes Knob, Greenbrier, Lobelia, 38 13 18 80 22 01, USFS, Removed, Sold to Richwood Volunteer Fire Department, Incorporated, dismantled and relocated, 
23, Rich Mountain, Greenbrier, Quinwood, 38 01 06 80 40 24, WVDF, Removed, , 
24, Bens Knob, Hampshire, Hanging Rock, 39 15 27 78 31 34, WVDF, Removed, , 
25, Nathaniel Mountain, Hampshire, Sector, 39 11 56 78 47 26, WVDF, Standing (May 17, 2011), , 
26, Big Ridge, Hardy, Lost River State Park, 38 54 50 78 53 42, WVDF, Standing (July 24, 2010), , 
, Cranny Crow, Hardy, Lost River State Park, See 'Big Ridge', 
27, Elkhorn Mountain, Hardy, Petersburg East, 38 55 43 79 02 44, WVDF, Unknown, , 
28, Half Moon, Hardy, Baker, Approx. 39 00 02 78 37 55, USFS, Removed, , 
29, Bee Mountain, Kanawha, Belle, Approx. 38 11 15.5 81 36 57.9, WVDF, Removed, , 
30, Foreman Knob, Kanawha, Kettle, Approx. 38 31 47 81 24 12, WVDF, Removed, , 
31, Johnson Knob (I), Kanawha, Eskdale, Unknown, WVGFC, Removed, Replaced by Johnson Knob (II), 
32, Johnson Knob (II), Kanawha, Eskdale, 38 03 58.7 81 24 08.3, WVDF, Removed, , 
33, Mount Desert, Kanawha, Quick, 38 17 22 81 22 32, WVDF, Removed, , 
34, Buck Knob, Lincoln, Griffithsville, 38 12 45 81 54 34, WVDF, Removed, , 
35, Gartin Knob, Lincoln, Ranger, 38 01 27 82 12 05, WVDF, Unknown, , 
, Mann Knob, Lincoln, Ranger, See 'Gartin Knob', 
36, Blair Mountain, Logan, Amherstdale, 37 51 46 81 51 21, WVDF, Removed, , 
37, Cabin Hill, Logan, Holden, 37 50 56 82 05 19, WVCC, Unknown, , 
, Horse Pens, Logan, Man, See 'Mingo Mountain', 
38, Mingo Mountain, Logan, Man, 37 38 26 81 59 35, WVDF, Standing (May 1, 2009), , 
39, Spring Mountain, Logan, Lorado, 37 49 50 81 39 01, WVDF, Unknown, , 
40, Berwind, McDowell, War, 37 15 59 81 37 54, WVDF, Removed, , 
41, Coalwood, McDowell, Davy, 37 22 43 81 39 30, PRIVATE (Alawest, Incorporated), Removed, Television tower (steel w/open platform – no cab), 
42, Olga No. 1, McDowell, War, 37 21 53 81 41 09, PRIVATE (Alawest, Incorporated), Standing (February 20, 2008), Tower number (Olga No. 1) assigned by Olga Coal Company, predecessor to Alawest, Incorporated, 
43, Olga No. 2, McDowell, War, 37 21 00 81 38 58, PRIVATE (Alawest, Incorporated), Standing (February 20, 2008), Tower number (Olga No. 2) assigned by Olga Coal Company, predecessor to Alawest, Incorporated, 
44, Olga No. 3, McDowell, Davy, 37 25 59 81 43 30, PRIVATE (Alawest, Incorporated), Standing (February 20, 2008), Tower number (Olga No. 3) assigned by Olga Coal Company, predecessor to Alawest, Incorporated, 
45, Panther, McDowell, Panther, 37 25 58 81 53 01, WVDF, Standing (November 9, 2009), , 
46, Shawnee Mountain, McDowell, Keystone, 37 24 12 81 26 07, WVDF, Removed, , 
47, McComas (name unconfirmed), Mercer, Crumpler, 37 23 25 81 17 57, Unknown, Unknown, , 
48, Pilot Knob, Mercer, Crumpler, 37 28 13.7 81 16 54, WVDF, Standing (November 8, 2011), , 
49, Pinnacle, Mineral, Westernport, 39 22 55 79 04 42, WVDF, Standing (May 29, 2007), , 
