Wisconsin Lookouts Total known Sites - 180 Last Update - 3/14/2008, 
Name, County, Quad, Lat, Long, Status, BM, Photo, 
Ada Lake, Langlade, Reservoir Pond, 452222, 884441, U/A, U/A, U/A, 
Aniwa, Marathon, Hogarty, 450152, 891551, U/A, U/A, U/A, 
Anvil Lake, Vilas, Anvil Lake, 455808, 890305, U/A, U/A, U/A, 
Archibald, Oconto, Townsend, 451546, 883512, U/A, U/A, U/A, 
Bagley, Oconto, Hickory Corners, 450621, 881900, U/A, U/A, U/A, 
Bass Lake, Florence, Florence SE, 454500, 881931, U/A, U/A, U/A, 
Basswood, Langlade, Enterprise, 452234, 891725, U/A, U/A, U/A, 
Bayfield, Bayfield, Bayfield, 465004, 905103, U/A, U/A, U/A, 
Beaver, Marinette, Crivitz, 451042, 880634, U/A, U/A, U/A, 
Beck, Oneida, Monico, 453243, 891005, U/A, U/A, U/A, 
Bennett, Douglas, Lyman Lake, 462524, 915243, U/A, U/A, U/A, 
Birch Ridge, Ashland, Cedar, 463123, 903300, U/A, U/A, U/A, 
Birchwood, Rusk, Mikana, 453539, 913150, U/A, U/A, U/A, 
Blackberry Hill, Marathon, Dewey Marsh, 444237, 893036, U/A, U/A, U/A, 
Blue Hills, Rusk, Bucks Lake, 453001, 912411, U/A, U/A, U/A, 
Blue Mound, Adams, Wisconsin Dells North, 434024, 894645, U/A, U/A, U/A, 
Boulder, Vilas, Boulder Junction, 460623, 894251, U/A, U/A, U/A, 
Bruce Mound, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Brule, Douglas, Island Lake, 462756, 913403, U/A, U/A, U/A, 
Brunet, Sawyer, Loretta, 455647, 904632, U/A, U/A, U/A, 
Buckeye, Florence, Florence East, 455349, 881443, U/A, U/A, U/A, 
Butternut, Ashland, Butternut, 460127, 902951, U/A, U/A, U/A, 
Camp Douglas, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Camp Williams, U/A, U/A, 435601, 901527, U/A, U/A, U/A, 
Camp Ten, Lincoln, Woodboro, 453253, 893035, U/A, U/A, U/A, 
Carter, Oconto, Wabeno, 452235, 883818, U/A, U/A, U/A, 
Cataract, Monroe, Cataract, 440125, 904917, U/A, U/A, U/A, 
Cedarville, Marinette, Athelstane, 452720, 880032, U/A, U/A, U/A, 
Chetek, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Clam Lake, Sawyer, Clam Lake, 460759, 905728, U/A, U/A, U/A, 
Clevedon, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Collins Marsh, U/A, Valders, 440458, 875806, U/A, U/A, U/A, 
Connors Lake, Sawyer, Oxbo, 454530, 904249, U/A, U/A, U/A, 
Consolidated, Forest, Newald, 453934, 884405, U/A, U/A, U/A, 
Cranberry Rock, Juneau, Arkdale NW, 441424, 895942, U/A, U/A, U/A, 
Dairyland, Douglas, Dairyland, 461439, 921438, U/A, U/A, U/A, 
Danbury, Burnett, Webster, 455750, 921916, U/A, U/A, U/A, 
Delta, Bayfield, Delta, 462556, 911925, U/A, U/A, U/A, 
Drummond, Bayfield, Drummond, 461930, 911953, U/A, U/A, U/A, 
Dunbar, Marinette, Dunbar NE, 453954, 880634, U/A, U/A, U/A, 
Dutchman, Menominee, Perote Lake, 450009, 885217, U/A, U/A, U/A, 
Dyracuse, Adams, Arkdale NE, 441023, 894702, U/A, U/A, U/A, 
Elderon, Marathon, Mission Lake, 444836, 891913, U/A, U/A, U/A, 
Elk River, Price, Pike Lake SE, 454502, 900659, U/A, U/A, U/A, 
Falls, Ashland, Mellen, 462225, 903837, U/A, U/A, U/A, 
Fifield (Wintergreen), Price, Blockhouse Lake, 455313, 901927, U/A, U/A, U/A, 
Fivemile, Washburn, Frog Lake, 460626, 920141, U/A, U/A, U/A, 
Flambeau, Chippewa, Flambeau Ridge, 451650, 911258, U/A, U/A, U/A, 
Flambeau, Vilas, Fence Lake, 455945, 895042, U/A, U/A, U/A, 
Flannagan, Douglas, South Range, 463508, 915609, U/A, U/A, U/A, 
Florence, Florence, Naults (MI), 455744, 882957, U/A, U/A, U/A, 
Frederic, Polk, Frederic, 453809, 922521, U/A, U/A, U/A, 
Fromm, Lincoln, Fromm Lookout, 450751, 895514, U/A, U/A, U/A, 
Gilman, Taylor, Huron, 450245, 905320, U/A, U/A, U/A, 
Girard Junction, Marinette, Lehman Lake, 452948, 881208, U/A, U/A, U/A, 
Glidden, Ashland, Glidden, 460803, 903352, U/A, U/A, U/A, 
Goodman, Marinette, Coleman Lake, 453658, 881948, U/A, U/A, U/A, 
Gordon, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Grand View, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Grantsburg, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Greenfield, Monroe, Alderwood Lake, 440243, 903740, U/A, U/A, U/A, 
Halls Lake, Florence, Florence SE, 454925, 881754, U/A, U/A, U/A, 
Harmony, Price, Kennan, 453438, 903341, U/A, U/A, U/A, 
Hayward, Sawyer, Hayward, 460007, 912425, U/A, U/A, U/A, 
Highland, Douglas, Ellison Lake, 462029, 913459, U/A, U/A, U/A, 
Hiles, Forest, Argonne, 454223, 885638, U/A, U/A, U/A, 
Hodag, Oneida, Moen Lake, 453730, 892112, U/A, U/A, U/A, 
Indian Lake, Oneida, Sugar Camp, 454832, 891757, U/A, U/A, U/A, 
Iron River, Bayfield, Hart Lake, 463435, 911925, U/A, U/A, U/A, 
Jack Pine, Oneida, Burrows Lake, 454045, 894748, U/A, U/A, U/A, 
Jump River, Taylor, Jump River Fire, 452039, 903617, U/A, U/A, U/A, 
Jute Lake, Vilas, Thousand Island, 460935, 892935, U/A, U/A, U/A, 
K, Langlade, Mole Lake, 452639, 885933, U/A, U/A, U/A, 
Kennedy, Price, Butternut Lake, 455507, 903710, U/A, U/A, U/A, 
Kent, Langlade, Polar, 451438, 885304, U/A, U/A, U/A, 
Kinepoway, Menominee, Keshena, 445955, 884027, U/A, U/A, U/A, 
Knapp, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Kokaly, Clark, Mead Lake East, 444540, 904423, U/A, U/A, U/A, 
Kolpack, Shawano, Regina, 445518, 890024, U/A, U/A, U/A, 
La Belle, Menominee, Fredenberg Lake, 450240, 883501, U/A, U/A, U/A, 
Ladd Creek, Rusk, Ingram, 453559, 904749, U/A, U/A, U/A, 
Ladysmith, Rusk, Thornapple, 452754, 910802, U/A, U/A, U/A, 
Lake Minnesuing, Douglas, Bennett, 462548, 914652, U/A, U/A, U/A, 
Lake Tomahawk, Oneida, Lake Tomahawk, 455007, 893640, U/A, U/A, U/A, 
Lampson, Washburn, Trego, 455907, 914803, U/A, U/A, U/A, 
Laona, Forest, Laona, 453525, 883816, U/A, U/A, U/A, 
Lawrence, Rusk, Sheldon NE, 452753, 905143, U/A, U/A, U/A, 
Lenawee, Bayfield, Iron Lake NE, 464038, 911519, U/A, U/A, U/A, 
Little Switzerland, Washington, Hartford East, 432017, 881649, U/A, U/A, U/A, 
Long Lake, Florence, Long Lake, 455046, 883911, U/A, U/A, U/A, 
Long Mile, Bayfield, Grand View, 461759, 910338, U/A, U/A, U/A, 
Lookout Mountain, Lincoln, Parrish, 452403, 892857, U/A, U/A, U/A, 
Lugerville, Price, Lugerville, 454650, 903116, U/A, U/A, U/A, 
Mackenzie Center, Columbia, Wyocena, 432405, 892148, U/A, U/A, U/A, 
Marathon, Marathon, Marathon, 445316, 894539, U/A, U/A, U/A, 
Marengo, Ashland, Mineral Lake, 462204, 904827, U/A, U/A, U/A, 
McCaslin, Forest, McCaslin Mountain, 452251, 882710, U/A, U/A, U/A, 
McKenzie Lake, Washburn, McKenzie Lake, 455535, 920048, U/A, U/A, U/A, 
Mellen, Ashland, Mount Whittlese, 461803, 903702, U/A, U/A, U/A, 
Mercer, Iron, Mercer, 461000, 900415, U/A, U/A, U/A, 
Meteor, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Middle Inlet, Marinette, Bear Point (MI), 451801, 875022, U/A, U/A, U/A, 
Military Hill, Vilas, Phelps, 460400, 890439, U/A, U/A, U/A, 
Mineral Lake, Ashland, Mineral Lake, 461704, 904803, U/A, U/A, U/A, 
Monahan, Vilas, Star Lake, 460459, 892305, U/A, U/A, U/A, 
Moquah, Bayfield, Ino, 463513, 910948, U/A, U/A, U/A, 
Moraine, Clark, Columbia, 443346, 903936, U/A, U/A, U/A, 
Morris, Shawano, Shepley, 444914, 890416, U/A, U/A, U/A, 
Mosinee, Marathon, Mosinee, 444722, 894059, U/A, U/A, U/A, 
Mount Tom, Marinette, Mount Tom, 451816, 880300, U/A, U/A, U/A, 
Mountain, Oconto, Mountain, 451256, 882754, U/A, U/A, U/A, 
Muskellunge, Vilas, Sayner, 455927, 893611, U/A, U/A, U/A, 
Necedah, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Nekoosa, Wood, Arkdale NE, 441456, 894820, U/A, U/A, U/A, 
Nettleton, Forest, Alvin SE, 455128, 885059, U/A, U/A, U/A, 
Newald, Florence, Lake Gordon, 454357, 883342, U/A, U/A, U/A, 
North Mound, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Norway Ridge, Monroe, Shennington, 440705, 902042, U/A, U/A, U/A, 
Nursery, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Oak Ridge, Jackson, Millston, 441249, 904321, U/A, U/A, U/A, 
Ogema, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Padus, Forest, Wabeno, 452942, 883907, U/A, U/A, U/A, 
Park Falls, Price, Park Falls, 455546, 902629, U/A, U/A, U/A, 
Pattison, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Pembine, Marinette, Pembine, 453758, 875712, U/A, U/A, U/A, 
Pence Lake, Langlade, Pearson, 451950, 890350, U/A, U/A, U/A, 
Perkinstown, Taylor, Perkinstown, 451112, 903725, U/A, U/A, U/A, 
Peshtigo, Marinette, Harmony, 450519, 874522, U/A, U/A, U/A, 
Phillips, Price, Phillips, 453924, 902238, U/A, U/A, U/A, 
Pickerel, Vilas, Saint Germain, 455808, 892511, U/A, U/A, U/A, 
Piehl, Oneida, Starks, 454307, 890754, U/A, U/A, U/A, 
Pine Bluff, Dane, Cross Plains, 430446, 894024, U/A, U/A, U/A, 
Pine Lake, Iron, Lake Evelyn, 461543, 900726, U/A, U/A, U/A, 
Pine River, Forest, Alvin, 455658, 884934, U/A, U/A, U/A, 
Pipestone, Sawyer, Radisson, 455109, 911216, U/A, U/A, U/A, 
Pleasant Lake, Iron, Lake Six, 461439, 902108, U/A, U/A, U/A, 
Porcupine, Oneida, Woodboro, 453414, 893145, U/A, U/A, U/A, 
Potato Lake, Washburn, Potato Lake, 454836, 913849, U/A, U/A, U/A, 
Potawatomi, Door, Idlewild, 445232, 872536, U/A, U/A, U/A, 
Quarry, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Quincy Bluff, Adams, Dellwood, 435236, 895250, U/A, U/A, U/A, 
Rib River, Taylor, Rib River Lookout, 451227, 901016, U/A, U/A, U/A, 
Rock Falls, Lincoln, Irma, 452011, 894250, U/A, U/A, U/A, 
Ruby, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Saddle Mound, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
Sand Lake, Menominee, Legend Lake, 445250, 883320, U/A, U/A, U/A, 
Sand Lake, Sawyer, Hauer, 454816, 912623, U/A, U/A, U/A, 
Seeley, Sawyer, Cable, 460852, 911701, U/A, U/A, U/A, 
Sentinal Point, Price, Pike Lake, 455815, 900452, U/A, U/A, U/A, 
Seymour, Eau Claire, Fall Creek, 445003, 912111, U/A, U/A, U/A, 
Shelton, Washburn, Sarona, 454352, 914940, U/A, U/A, U/A, 
Siren, Burnett, Siren West, 454702, 922553, U/A, U/A, U/A, 
Skyline, U/A, U/A, U/A, U/A, U/A, U/A, U/A, 
